SYSCALL(args) 		 = return
getpid(0x7FFF5FBFF500, 0x7FFFFFE00050, 0x0)		 = 50936 0
open_nocancel("/dev/urandom\0", 0x0, 0x0)		 = 3 0
read_nocancel(0x3, "\251Q\2361\205\372\002\214\310\236\320\305\221:\032\231\252\346.\370\3054\330\364\341p>\250j\aHC}\353\267Tu\030pE,y\331\371f\322\270+G\2553~xG\230Q\275\300o~:\325)\217\357Y\343\037\212{qza\370$\2623\225\250^Q\231}\254HZ\337\231S\2506\034(n\270\305ll\215\224\034\3462\347i\226\367x\0", 0x6C)		 = 108 0
close_nocancel(0x3)		 = 0 0
issetugid(0x100000000, 0x7FFF5FBFF820, 0x7FFF5FC40530)		 = 0 0
geteuid(0x100000000, 0x7FFF5FBFF820, 0x0)		 = 0 0
__sysctl(0x7FFF5FBFD3F0, 0x2, 0x7FFF5FBFD3B0)		 = 0 0
__sysctl(0x7FFF5FBFD3B0, 0x2, 0x7FFF5FBFD44C)		 = 0 0
shared_region_check_np(0x7FFF5FBFD5B8, 0x0, 0x7FFF5FC1DC86)		 = 0 0
stat64("/usr/lib/dtrace/libdtrace_dyld.dylib\0", 0x7FFF5FBFC9C0, 0x7FFF5FBFD000)		 = 0 0
open("/usr/lib/dtrace/libdtrace_dyld.dylib\0", 0x0, 0x0)		 = 3 0
pread(0x3, "\312\376\272\276\0", 0x1000, 0x0)		 = 4096 0
pread(0x3, "\317\372\355\376\a\0", 0x1000, 0x1000)		 = 4096 0
mmap(0x1002A8000, 0x2000, 0x5, 0x12, 0x3, 0x7FFF00000001)		 = 0x2A8000 0
mmap(0x1002AA000, 0x1000, 0x3, 0x12, 0x3, 0x7FFF00000001)		 = 0x2AA000 0
mmap(0x1002AB000, 0x1F10, 0x1, 0x12, 0x3, 0x7FFF00000001)		 = 0x2AB000 0
close(0x3)		 = 0 0
stat64("/usr/lib/libSystem.B.dylib\0", 0x7FFF5FBFC760, 0x7FFF5FBFCDA0)		 = 0 0
stat64("/usr/lib/libobjc.A.dylib\0", 0x7FFF5FBFC760, 0x7FFF5FBFCDA0)		 = 0 0
stat64("/usr/lib/system/libmathCommon.A.dylib\0", 0x7FFF5FBFC610, 0x7FFF5FBFCC50)		 = 0 0
stat64("/usr/lib/libauto.dylib\0", 0x7FFF5FBFC5E0, 0x7FFF5FBFCC20)		 = 0 0
stat64("/usr/lib/libstdc++.6.dylib\0", 0x7FFF5FBFC5E0, 0x7FFF5FBFCC20)		 = 0 0
madvise(0x7FFF896EF000, 0x2000, 0x5)		 = 0 0
open("/dev/dtracehelper\0", 0x2, 0x7FFF5FC45490)		 = 3 0
ioctl(0x3, 0x80086804, 0x7FFF5FBFD350)		 = 0 0
close(0x3)		 = 0 0
__sysctl(0x7FFF5FBFD240, 0x2, 0x7FFF5FBFD230)		 = 0 0
bsdthread_register(0x7FFF856A539C, 0x7FFF85685FB8, 0x2000)		 = 0 0
thread_selfid(0x7FFF856A539C, 0x7FFF85685FB8, 0x0)		 = 373702 0
open_nocancel("/dev/urandom\0", 0x0, 0x7FFF70A6EBE0)		 = 3 0
read_nocancel(0x3, ")\247\277Y\333}\320\231y\035%\3641$\351\177\0021\r\316\n\305\251\254\257\242\372\016\262O^\027Rq=\312\351g\005'\225o\372\247\255\221Y\23118]\212\006\326\3531Q\021\265\223\023\205\301L\0", 0x40)		 = 64 0
close_nocancel(0x3)		 = 0 0
mmap(0x0, 0x3000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2AD000 0
__sysctl(0x7FFF5FBFD0C0, 0x2, 0x7FFF5FBFD080)		 = 0 0
__sysctl(0x7FFF5FBFD080, 0x2, 0x7FFF5FBFD118)		 = 0 0
getpid(0x7FFF5FBFD010, 0x7FFFFFE00050, 0x0)		 = 50936 0
open_nocancel("/dev/urandom\0", 0x0, 0x0)		 = 3 0
read_nocancel(0x3, "\363\366\301\214\301[\036\3614\022\347\203\347\214&\017\206\006\022\002\327mANX \332b7\207\031\210\017\332\221}\027\222\300d\261\224$\275\230\376\214\211\274\220\025!\\\321</)r\345\277m\374\vL\343y\276\030o\031$n*\375\275\303\f\363w6\305\267'\021f\aI\362\265*\211Y\177\177d\r\245\226.\017\352\334\f\032\363\022Q\223\0", 0x6C)		 = 108 0
close_nocancel(0x3)		 = 0 0
__sysctl(0x7FFF5FBFD0C0, 0x2, 0x7FFF5FBFD0EC)		 = 0 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2B0000 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2C7000 0
mmap(0x0, 0x1000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2DE000 0
mmap(0x0, 0x200000, 0x3, 0x1002, 0x7000000, 0x7FFF00000001)		 = 0x2DF000 0
munmap(0x1002DF000, 0x21000)		 = 0 0
munmap(0x100400000, 0xDF000)		 = 0 0
__sysctl(0x7FFF5FBFD220, 0x2, 0x7FFF5FBFD1E0)		 = 0 0
__sysctl(0x7FFF5FBFD1E0, 0x2, 0x7FFF70A7B760)		 = 0 0
__sysctl(0x7FFF5FBFD220, 0x2, 0x7FFF5FBFD1E0)		 = 0 0
__sysctl(0x7FFF5FBFD1E0, 0x2, 0x7FFF70A7B764)		 = 0 0
__sysctl(0x7FFF5FBFD220, 0x2, 0x7FFF5FBFD1E0)		 = 0 0
__sysctl(0x7FFF5FBFD1E0, 0x2, 0x7FFF70A7B768)		 = 0 0
mmap(0x0, 0x3000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2DF000 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF5FBFD1B0)		 = 0 0
__sysctl(0x7FFF5FBFD1B0, 0x2, 0x7FFF5FBFD248)		 = 0 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF5FBFD21C)		 = 0 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2E2000 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x400000 0
mmap(0x0, 0x200000, 0x3, 0x1002, 0x7000000, 0x7FFF00000001)		 = 0x417000 0
munmap(0x100417000, 0xE9000)		 = 0 0
munmap(0x100600000, 0x17000)		 = 0 0
issetugid(0x7FFF8699F8AC, 0x7FFF5FBFD28C, 0x7FFF5FBFF708)		 = 0 0
stat64("/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation\0", 0x7FFF5FBFC350, 0x7FFF5FBFC990)		 = 0 0
mmap(0x0, 0x1000000, 0x3, 0x1002, 0x2000000, 0x7FFF00000000)		 = 0x600000 0
munmap(0x100600000, 0x200000)		 = 0 0
munmap(0x101000000, 0x600000)		 = 0 0
getrlimit(0x1008, 0x7FFF5FBFF0B0, 0x7FFF8566F80C)		 = 0 0
