SYSCALL(args) 		 = return
madvise(0x7FFF896EF000, 0x2000, 0x5)		 = 0 0
open("/dev/dtracehelper\0", 0x2, 0x7FFF5FC45490)		 = 3 0
ioctl(0x3, 0x80086804, 0x7FFF5FBFD360)		 = 0 0
close(0x3)		 = 0 0
__sysctl(0x7FFF5FBFD250, 0x2, 0x7FFF5FBFD240)		 = 0 0
bsdthread_register(0x7FFF856A539C, 0x7FFF85685FB8, 0x2000)		 = 0 0
thread_selfid(0x7FFF856A539C, 0x7FFF85685FB8, 0x0)		 = 373382 0
open_nocancel("/dev/urandom\0", 0x0, 0x7FFF70A6EBE0)		 = 3 0
read_nocancel(0x3, "\322\343tZG\373S\036\347\366\376H\370{\236\300\310H\372\360q\237\327\017<\017\366\210\033\332\206\233\371\206Zh\206\245*\330\240*\312^\353\342\351\304\3319\255\223/\324\313\264\322\352\261j<I\244\372\0", 0x40)		 = 64 0
close_nocancel(0x3)		 = 0 0
mmap(0x0, 0x3000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2AD000 0
__sysctl(0x7FFF5FBFD0D0, 0x2, 0x7FFF5FBFD090)		 = 0 0
__sysctl(0x7FFF5FBFD090, 0x2, 0x7FFF5FBFD128)		 = 0 0
getpid(0x7FFF5FBFD020, 0x7FFFFFE00050, 0x0)		 = 50818 0
open_nocancel("/dev/urandom\0", 0x0, 0x0)		 = 3 0
read_nocancel(0x3, "!\020\272\227\310\273\305FVN\220\262\257\333V\030\320\340\032ve\235n\200jU9>r\277t\260\217\370Q\243\367%\f\374\251\222\265$\3617\031\025O\332=\033\f\204j\177\311}\214\233\331{\323m(\220d\261\r\360\327\b\364vM\302\234\345\034\034\316W\005VkM\230\\k\036:\313!\3666H\301\310;\324\021\304+c\036\233\2765\0", 0x6C)		 = 108 0
close_nocancel(0x3)		 = 0 0
__sysctl(0x7FFF5FBFD0D0, 0x2, 0x7FFF5FBFD0FC)		 = 0 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2B0000 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2C7000 0
mmap(0x0, 0x1000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2DE000 0
mmap(0x0, 0x200000, 0x3, 0x1002, 0x7000000, 0x7FFF00000001)		 = 0x2DF000 0
munmap(0x1002DF000, 0x21000)		 = 0 0
munmap(0x100400000, 0xDF000)		 = 0 0
__sysctl(0x7FFF5FBFD230, 0x2, 0x7FFF5FBFD1F0)		 = 0 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF70A7B760)		 = 0 0
__sysctl(0x7FFF5FBFD230, 0x2, 0x7FFF5FBFD1F0)		 = 0 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF70A7B764)		 = 0 0
__sysctl(0x7FFF5FBFD230, 0x2, 0x7FFF5FBFD1F0)		 = 0 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF70A7B768)		 = 0 0
mmap(0x0, 0x3000, 0x3, 0x1002, 0x1000000, 0x1FFFFFFFF)		 = 0x2DF000 0
__sysctl(0x7FFF5FBFD200, 0x2, 0x7FFF5FBFD1C0)		 = 0 0
__sysctl(0x7FFF5FBFD1C0, 0x2, 0x7FFF5FBFD258)		 = 0 0
__sysctl(0x7FFF5FBFD200, 0x2, 0x7FFF5FBFD22C)		 = 0 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x1FFFFFFFF)		 = 0x2E2000 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x1FFFFFFFF)		 = 0x400000 0
mmap(0x0, 0x200000, 0x3, 0x1002, 0x7000000, 0x1FFFFFFFF)		 = 0x417000 0
munmap(0x100417000, 0xE9000)		 = 0 0
munmap(0x100600000, 0x17000)		 = 0 0
thread_selfid(0x7FFF70A65640, 0x0, 0xFFFFFFFF)		 = 373391 0
stat64("/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation\0", 0x7FFF5FBFDC30, 0x7FFF5FBFE270)		 = 0 0
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/1.9.1/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/1.9.1/x86_64-darwin10.7.0/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/1.9.1/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/1.9.1/x86_64-darwin10.7.0/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = 3 0
fstat64(0x3, 0x7FFF5FBFE330, 0x0)		 = 0 0
close(0x3)		 = 0 0
lstat64("/Users\0", 0x7FFF5FBFE190, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron\0", 0x7FFF5FBFE190, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19\0", 0x7FFF5FBFE190, 0x7FFF70A655C0)		 = 0 0
