SYSCALL(args) 		 = return
getpid(0x7FFF5FBFF510, 0x7FFFFFE00050, 0x0)		 = 50507 0
open_nocancel("/dev/urandom\0", 0x0, 0x0)		 = 3 0
read_nocancel(0x3, "\377\017\207Ir&\247\215\242\337\024\375\324\305A\350\226T:\017\032\235F\225B`\200)]\272\377\345\242\240\205\301\334h9\v\v\201\215\256\353\302'm(\002f\252l\363\322CS\276 \242\327\370\\g\202\033:\212\024\336r\0219\211)%\027\275w\267_\256\272\352\306\021vF\341Y5c\363,\177Me2\252V\231I\203\375\332\213\360\223\0", 0x6C)		 = 108 0
close_nocancel(0x3)		 = 0 0
issetugid(0x100000000, 0x7FFF5FBFF828, 0x7FFF5FC40530)		 = 0 0
geteuid(0x100000000, 0x7FFF5FBFF828, 0x0)		 = 0 0
__sysctl(0x7FFF5FBFD400, 0x2, 0x7FFF5FBFD3C0)		 = 0 0
__sysctl(0x7FFF5FBFD3C0, 0x2, 0x7FFF5FBFD45C)		 = 0 0
shared_region_check_np(0x7FFF5FBFD5C8, 0x0, 0x7FFF5FC1DC86)		 = 0 0
stat64("/usr/lib/dtrace/libdtrace_dyld.dylib\0", 0x7FFF5FBFC9D0, 0x7FFF5FBFD010)		 = 0 0
open("/usr/lib/dtrace/libdtrace_dyld.dylib\0", 0x0, 0x0)		 = 3 0
pread(0x3, "\312\376\272\276\0", 0x1000, 0x0)		 = 4096 0
pread(0x3, "\317\372\355\376\a\0", 0x1000, 0x1000)		 = 4096 0
mmap(0x1002A8000, 0x2000, 0x5, 0x12, 0x3, 0x7FFF00000001)		 = 0x2A8000 0
mmap(0x1002AA000, 0x1000, 0x3, 0x12, 0x3, 0x7FFF00000001)		 = 0x2AA000 0
mmap(0x1002AB000, 0x1F10, 0x1, 0x12, 0x3, 0x7FFF00000001)		 = 0x2AB000 0
close(0x3)		 = 0 0
stat64("/usr/lib/libSystem.B.dylib\0", 0x7FFF5FBFC770, 0x7FFF5FBFCDB0)		 = 0 0
stat64("/usr/lib/libobjc.A.dylib\0", 0x7FFF5FBFC770, 0x7FFF5FBFCDB0)		 = 0 0
stat64("/usr/lib/system/libmathCommon.A.dylib\0", 0x7FFF5FBFC620, 0x7FFF5FBFCC60)		 = 0 0
stat64("/usr/lib/libauto.dylib\0", 0x7FFF5FBFC5F0, 0x7FFF5FBFCC30)		 = 0 0
stat64("/usr/lib/libstdc++.6.dylib\0", 0x7FFF5FBFC5F0, 0x7FFF5FBFCC30)		 = 0 0
__sysctl(0x7FFF5FBFD250, 0x2, 0x7FFF5FBFD240)		 = 0 0
bsdthread_register(0x7FFF856A539C, 0x7FFF85685FB8, 0x2000)		 = 0 0
thread_selfid(0x7FFF856A539C, 0x7FFF85685FB8, 0x0)		 = 372450 0
open_nocancel("/dev/urandom\0", 0x0, 0x7FFF70A6EBE0)		 = 3 0
read_nocancel(0x3, "\017\300\377\203\273-\3628\224\310\213*|\v\023\212\237\345\276\362O\324\016\017\342M6\034D\243\001nU\210\335\304\230zOB27\326&\273\243\264\212\027\372!\377\365\272\345\267\236\370\264\t\313-z\337\0", 0x40)		 = 64 0
close_nocancel(0x3)		 = 0 0
mmap(0x0, 0x3000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2AD000 0
__sysctl(0x7FFF5FBFD0D0, 0x2, 0x7FFF5FBFD090)		 = 0 0
__sysctl(0x7FFF5FBFD090, 0x2, 0x7FFF5FBFD128)		 = 0 0
getpid(0x7FFF5FBFD020, 0x7FFFFFE00050, 0x0)		 = 50507 0
open_nocancel("/dev/urandom\0", 0x0, 0x0)		 = 3 0
read_nocancel(0x3, ")$\346f\267:Q\375j\324E\232\351\"=\027\024}\337\227\271|,\035\a~p\346g\327\027\\\27575(\317\323H\026\201\230\326\r0>Rw*u\004W\327;\334y\335\376\373\257\321\262X\375\227K\256I\025\342\261\211hI\"\265\022@\334\274\346wG\303\236rBo\272\324F\275\221\216\210\225\275A\271\230E\351\222]\016M\377\322\0", 0x6C)		 = 108 0
close_nocancel(0x3)		 = 0 0
__sysctl(0x7FFF5FBFD0D0, 0x2, 0x7FFF5FBFD0FC)		 = 0 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2B0000 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2C7000 0
mmap(0x0, 0x1000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2DE000 0
mmap(0x0, 0x200000, 0x3, 0x1002, 0x7000000, 0x7FFF00000001)		 = 0x2DF000 0
munmap(0x1002DF000, 0x21000)		 = 0 0
munmap(0x100400000, 0xDF000)		 = 0 0
__sysctl(0x7FFF5FBFD230, 0x2, 0x7FFF5FBFD1F0)		 = 0 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF70A7B760)		 = 0 0
__sysctl(0x7FFF5FBFD230, 0x2, 0x7FFF5FBFD1F0)		 = 0 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF70A7B764)		 = 0 0
__sysctl(0x7FFF5FBFD230, 0x2, 0x7FFF5FBFD1F0)		 = 0 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF70A7B768)		 = 0 0
mmap(0x0, 0x3000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2DF000 0
__sysctl(0x7FFF5FBFD200, 0x2, 0x7FFF5FBFD1C0)		 = 0 0
__sysctl(0x7FFF5FBFD1C0, 0x2, 0x7FFF5FBFD258)		 = 0 0
__sysctl(0x7FFF5FBFD200, 0x2, 0x7FFF5FBFD22C)		 = 0 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2E2000 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x400000 0
mmap(0x0, 0x200000, 0x3, 0x1002, 0x7000000, 0x7FFF00000001)		 = 0x417000 0
munmap(0x100417000, 0xE9000)		 = 0 0
munmap(0x100600000, 0x17000)		 = 0 0
thread_selfid(0x7FFF70A65640, 0x0, 0xFFFFFFFF)		 = 372454 0
stat64("/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation\0", 0x7FFF5FBFDC30, 0x7FFF5FBFE270)		 = 0 0
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/1.9.1/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/1.9.1/x86_64-darwin10.7.0/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/1.9.1/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/1.9.1/x86_64-darwin10.7.0/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/enc/trans/transdb.bundle\0", 0x0, 0x402005)		 = 3 0
fstat64(0x3, 0x7FFF5FBFE330, 0x0)		 = 0 0
close(0x3)		 = 0 0
lstat64("/Users\0", 0x7FFF5FBFE190, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron\0", 0x7FFF5FBFE190, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19\0", 0x7FFF5FBFE190, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19/lib\0", 0x7FFF5FBFE190, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19/lib/ruby\0", 0x7FFF5FBFE190, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19/lib/ruby/1.9.1\0", 0x7FFF5FBFE190, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0\0", 0x7FFF5FBFE190, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/enc\0", 0x7FFF5FBFE190, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/enc/trans\0", 0x7FFF5FBFE190, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/enc/trans/transdb.bundle\0", 0x7FFF5FBFE190, 0x7FFF70A655C0)		 = 0 0
stat64("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/enc/trans/transdb.bundle\0", 0x7FFF5FBFD7C0, 0x7FFF5FBFDE00)		 = 0 0
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/enc/trans/transdb.bundle\0", 0x0, 0x0)		 = 3 0
pread(0x3, "\317\372\355\376\a\0", 0x1000, 0x0)		 = 4096 0
mmap(0x10045B000, 0x2000, 0x5, 0x12, 0x3, 0x22818600000000)		 = 0x45B000 0
mmap(0x10045D000, 0x1000, 0x3, 0x12, 0x3, 0x22818600000000)		 = 0x45D000 0
mmap(0x10045E000, 0x238, 0x1, 0x12, 0x3, 0x22818600000000)		 = 0x45E000 0
close(0x3)		 = 0 0
stat64("/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation\0", 0x7FFF5FBFD330, 0x7FFF5FBFD970)		 = 0 0
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/1.9.1/rubygems/defaults/operating_system.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/1.9.1/x86_64-darwin10.7.0/rubygems/defaults/operating_system.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/rubygems/defaults/operating_system.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/1.9.1/rubygems/defaults/operating_system.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/1.9.1/x86_64-darwin10.7.0/rubygems/defaults/operating_system.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/rubygems/defaults/operating_system.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/rubygems/defaults/operating_system.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/rubygems/defaults/operating_system.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/1.9.1/rubygems/defaults/operating_system.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/1.9.1/x86_64-darwin10.7.0/rubygems/defaults/operating_system.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/rubygems/defaults/operating_system.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/1.9.1/rubygems/defaults/operating_system.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/1.9.1/x86_64-darwin10.7.0/rubygems/defaults/operating_system.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/rubygems/defaults/operating_system.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/rubygems/defaults/operating_system.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/rubygems/defaults/operating_system.bundle\0", 0x0, 0x402005)		 = -1 Err#2
__pthread_sigmask(0x3, 0x100214E24, 0x0)		 = 0 0
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/1.9.1/rubygems/defaults/ruby.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/1.9.1/x86_64-darwin10.7.0/rubygems/defaults/ruby.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/rubygems/defaults/ruby.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/1.9.1/rubygems/defaults/ruby.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/1.9.1/x86_64-darwin10.7.0/rubygems/defaults/ruby.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/rubygems/defaults/ruby.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/rubygems/defaults/ruby.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/rubygems/defaults/ruby.rb\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/1.9.1/rubygems/defaults/ruby.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/1.9.1/x86_64-darwin10.7.0/rubygems/defaults/ruby.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/rubygems/defaults/ruby.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/1.9.1/rubygems/defaults/ruby.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/1.9.1/x86_64-darwin10.7.0/rubygems/defaults/ruby.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/rubygems/defaults/ruby.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/rubygems/defaults/ruby.bundle\0", 0x0, 0x402005)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/rubygems/defaults/ruby.bundle\0", 0x0, 0x402005)		 = -1 Err#2
__pthread_sigmask(0x3, 0x100214E24, 0x0)		 = 0 0
open("/var/folders/xh/xhUg+BgeHp8hhi8Kt3qIKU+++TM/-Tmp-/foo.rb20110611-50502-ttnhob\0", 0x0, 0x0)		 = 3 0
ioctl(0x3, 0x4004667A, 0x7FFF5FBFEE3C)		 = -1 Err#25
ioctl(0x3, 0x40487413, 0x7FFF5FBFEE40)		 = -1 Err#25
sigprocmask(0x1, 0x0, 0x7FFF5FBFEDE0)		 = 0x0 0
sigaltstack(0x0, 0x7FFF5FBFEDD0, 0x0)		 = 0 0
read(0x3, "\0", 0x2000)		 = 0 0
close(0x3)		 = 0 0
lstat64("/var\0", 0x7FFF5FBFEE80, 0x7FFF70A655C0)		 = 0 0
readlink("/var\0", 0x1003ADA50, 0x64)		 = 11 0
lstat64("/private\0", 0x7FFF5FBFED70, 0x7FFF70A655C0)		 = 0 0
lstat64("/private/var\0", 0x7FFF5FBFED70, 0x7FFF70A655C0)		 = 0 0
lstat64("/private/var/folders\0", 0x7FFF5FBFEE80, 0x7FFF70A655C0)		 = 0 0
lstat64("/private/var/folders/xh\0", 0x7FFF5FBFEE80, 0x7FFF70A655C0)		 = 0 0
lstat64("/private/var/folders/xh/xhUg+BgeHp8hhi8Kt3qIKU+++TM\0", 0x7FFF5FBFEE80, 0x7FFF70A655C0)		 = 0 0
lstat64("/private/var/folders/xh/xhUg+BgeHp8hhi8Kt3qIKU+++TM/-Tmp-\0", 0x7FFF5FBFEE80, 0x7FFF70A655C0)		 = 0 0
lstat64("/private/var/folders/xh/xhUg+BgeHp8hhi8Kt3qIKU+++TM/-Tmp-/foo.rb20110611-50502-ttnhob\0", 0x7FFF5FBFEE80, 0x7FFF70A655C0)		 = 0 0
getrlimit(0x1003, 0x7FFF5FBFF650, 0x100301A00)		 = 0 0
getrlimit(0x1003, 0x7FFF5FBFF540, 0x100301A00)		 = 0 0
__semwait_signal(0x1703, 0x0, 0x0)		 = 0 0
sigaction(0x2, 0x7FFF5FBFF500, 0x7FFF5FBFF530)		 = 0 0
sigaction(0x2, 0x7FFF5FBFF510, 0x7FFF5FBFF540)		 = 0 0
madvise(0x100600000, 0x100000, 0x9)		 = 0 0
madvise(0x100417000, 0x40000, 0x9)		 = 0 0
madvise(0x7FFF896EF000, 0x2000, 0x5)		 = 0 0
open("/dev/dtracehelper\0", 0x2, 0x7FFF5FC45490)		 = 3 0
ioctl(0x3, 0x80086804, 0x7FFF5FBFD360)		 = 0 0
close(0x3)		 = 0 0
issetugid(0x7FFF8699F8AC, 0x7FFF5FBFD29C, 0x7FFF5FBFF710)		 = 0 0
stat64("/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation\0", 0x7FFF5FBFC360, 0x7FFF5FBFC9A0)		 = 0 0
mmap(0x0, 0x1000000, 0x3, 0x1002, 0x2000000, 0x100000000)		 = 0x600000 0
munmap(0x100600000, 0x200000)		 = 0 0
munmap(0x101000000, 0x600000)		 = 0 0
getrlimit(0x1008, 0x7FFF5FBFF0B0, 0x7FFF8566F80C)		 = 0 0
open_nocancel("/usr/share/locale/en_US.UTF-8/LC_CTYPE\0", 0x0, 0x1B6)		 = 3 0
fstat64(0x3, 0x7FFF5FBFF130, 0x0)		 = 0 0
fstat64(0x3, 0x7FFF5FBFEF10, 0x7FFF5FBFEFDC)		 = 0 0
lseek(0x3, 0x0, 0x1)		 = 0 0
lseek(0x3, 0x0, 0x0)		 = 0 0
read_nocancel(0x3, "RuneMagAUTF-8\0", 0x1000)		 = 4096 0
read_nocancel(0x3, "\0", 0x1000)		 = 4096 0
read_nocancel(0x3, "\0", 0x1000)		 = 4096 0
read_nocancel(0x3, "\0", 0x1000)		 = 4096 0
read_nocancel(0x3, "\0", 0x1000)		 = 4096 0
read_nocancel(0x3, "\0", 0x1000)		 = 4096 0
read_nocancel(0x3, "@\004\211\0", 0xDB70)		 = 56176 0
close_nocancel(0x3)		 = 0 0
getrlimit(0x1003, 0x7FFF5FBFF680, 0x10020DBD0)		 = 0 0
getrlimit(0x1003, 0x7FFF5FBFF5A0, 0x700000)		 = 0 0
sigaction(0x1A, 0x7FFF5FBFF550, 0x7FFF5FBFF580)		 = 0 0
mmap(0x0, 0x100000, 0x3, 0x1002, 0x3000000, 0x100000000)		 = 0x600000 0
mmap(0x0, 0x1000, 0x3, 0x1002, 0x3000000, 0x100000000)		 = 0x2F9000 0
getrusage(0x0, 0x7FFF5FBFF520, 0x10089A200)		 = 0 0
open("/dev/urandom\0", 0x20004, 0x100301A00)		 = 3 0
fstat64(0x3, 0x7FFF5FBFF4D0, 0x0)		 = 0 0
read(0x3, "\324\311\245~U\312J\001b[\377\006t*\2730@\004\b\0", 0x10)		 = 16 0
close(0x3)		 = 0 0
ioctl(0x0, 0x4004667A, 0x7FFF5FBFF4CC)		 = 0 0
ioctl(0x1, 0x4004667A, 0x7FFF5FBFF4CC)		 = 0 0
ioctl(0x2, 0x4004667A, 0x7FFF5FBFF4CC)		 = -1 Err#25
ioctl(0x2, 0x40487413, 0x7FFF5FBFF4D0)		 = -1 Err#25
sigaction(0x2, 0x7FFF5FBFF500, 0x7FFF5FBFF530)		 = 0 0
sigaction(0x1, 0x7FFF5FBFF500, 0x7FFF5FBFF530)		 = 0 0
sigaction(0x3, 0x7FFF5FBFF500, 0x7FFF5FBFF530)		 = 0 0
sigaction(0xF, 0x7FFF5FBFF500, 0x7FFF5FBFF530)		 = 0 0
sigaction(0xE, 0x7FFF5FBFF500, 0x7FFF5FBFF530)		 = 0 0
sigaction(0x1E, 0x7FFF5FBFF500, 0x7FFF5FBFF530)		 = 0 0
sigaction(0x1F, 0x7FFF5FBFF500, 0x7FFF5FBFF530)		 = 0 0
sigaction(0xA, 0x7FFF5FBFF500, 0x7FFF5FBFF530)		 = 0 0
mmap(0x0, 0x40000, 0x3, 0x1002, 0x3000000, 0x100000000)		 = 0x417000 0
sigaltstack(0x7FFF5FBFF580, 0x7FFF5FBFF560, 0x0)		 = 0 0
sigaction(0xB, 0x7FFF5FBFF500, 0x7FFF5FBFF530)		 = 0 0
sigaction(0xD, 0x7FFF5FBFF500, 0x7FFF5FBFF530)		 = 0 0
__pthread_sigmask(0x1, 0x7FFF5FBFF59C, 0x7FFF5FBFF59C)		 = 0 0
sigaction(0x14, 0x7FFF5FBFF500, 0x7FFF5FBFF530)		 = 0 0
__pthread_sigmask(0x3, 0x7FFF5FBFF59C, 0x0)		 = 0 0
geteuid(0x0, 0x10036B34, 0x10016F424)		 = 0 0
getegid(0x0, 0x10036B34, 0x0)		 = 0 0
__pthread_sigmask(0x3, 0x7FFF5FBFF53C, 0x0)		 = 0 0
bsdthread_create(0x1001845D0, 0x0, 0x2000)		 = 3133440 0
mmap(0x0, 0x200000, 0x3, 0x1002, 0x7000000, 0x100000001)		 = 0x1000000 0
munmap(0x101100000, 0x100000)		 = 0 0
__semwait_signal(0x1603, 0x1703, 0x0)		 = 0 0
__pthread_sigmask(0x3, 0x7FFF5FBFF53C, 0x0)		 = 0 0
mmap(0x0, 0x1000000, 0x3, 0x1002, 0x2000000, 0x100000001)		 = 0x1100000 0
munmap(0x101100000, 0x700000)		 = 0 0
munmap(0x102000000, 0x100000)		 = 0 0
getrlimit(0x1003, 0x7FFF5FBFF580, 0x0)		 = 0 0
getuid(0x7FFF5FBFF140, 0x0, 0x80)		 = 0 0
geteuid(0x7FFF5FBFF140, 0x0, 0x0)		 = 0 0
getgid(0x7FFF5FBFF140, 0x0, 0x0)		 = 0 0
getegid(0x7FFF5FBFF140, 0x0, 0x0)		 = 0 0
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/1.9.1/enc/encdb.bundle\0", 0x0, 0x100302030)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/1.9.1/x86_64-darwin10.7.0/enc/encdb.bundle\0", 0x0, 0x100302030)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/site_ruby/enc/encdb.bundle\0", 0x0, 0x100302030)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/1.9.1/enc/encdb.bundle\0", 0x0, 0x100302030)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/1.9.1/x86_64-darwin10.7.0/enc/encdb.bundle\0", 0x0, 0x100302030)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/vendor_ruby/enc/encdb.bundle\0", 0x0, 0x100302030)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/enc/encdb.bundle\0", 0x0, 0x100302030)		 = -1 Err#2
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/enc/encdb.bundle\0", 0x0, 0x100302030)		 = 3 0
fstat64(0x3, 0x7FFF5FBFEC30, 0x0)		 = 0 0
close(0x3)		 = 0 0
lstat64("/Users\0", 0x7FFF5FBFEA90, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron\0", 0x7FFF5FBFEA90, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19\0", 0x7FFF5FBFEA90, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19/lib\0", 0x7FFF5FBFEA90, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19/lib/ruby\0", 0x7FFF5FBFEA90, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19/lib/ruby/1.9.1\0", 0x7FFF5FBFEA90, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0\0", 0x7FFF5FBFEA90, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/enc\0", 0x7FFF5FBFEA90, 0x7FFF70A655C0)		 = 0 0
lstat64("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/enc/encdb.bundle\0", 0x7FFF5FBFEA90, 0x7FFF70A655C0)		 = 0 0
stat64("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/enc/encdb.bundle\0", 0x7FFF5FBFE0C0, 0x7FFF5FBFE700)		 = 0 0
open("/Users/aaron/.ruby19/lib/ruby/1.9.1/x86_64-darwin10.7.0/enc/encdb.bundle\0", 0x0, 0x0)		 = 3 0
pread(0x3, "\317\372\355\376\a\0", 0x1000, 0x0)		 = 4096 0
mmap(0x100457000, 0x2000, 0x5, 0x12, 0x3, 0x100000001)		 = 0x457000 0
mmap(0x100459000, 0x1000, 0x3, 0x12, 0x3, 0x100000001)		 = 0x459000 0
mmap(0x10045A000, 0x318, 0x1, 0x12, 0x3, 0x100000001)		 = 0x45A000 0
close(0x3)		 = 0 0
__semwait_signal(0x1603, 0x1703, 0x1)		 = 0 0
__disable_threadsignal(0x1, 0x0, 0x0)		 = 0 0

