SYSCALL(args) 		 = return
getpid(0x7FFF5FBFF4D0, 0x7FFFFFE00050, 0x0)		 = 61560 0
open_nocancel("/dev/urandom\0", 0x0, 0x0)		 = 3 0
read_nocancel(0x3, ">\250\332<\377\225\252\233N8\377\244\247\303b\315\304\252\377\312\f\347\332\277\272y\325\006\257\362\246\n@p\254\251+\312\t<\357\337\034\031\264<r\004\2156\376\307(\256NQ\256{\202e_\2039\373\221\2006*\026r\226\377\201\267\024[\005\362\310\335\v\\A/\352e4\326\337\312\246\302\246k\224\260\"k\203G\374\302P6\276A-\205\0", 0x6C)		 = 108 0
close_nocancel(0x3)		 = 0 0
issetugid(0x100000000, 0x7FFF5FBFF7F0, 0x7FFF5FC40530)		 = 0 0
geteuid(0x100000000, 0x7FFF5FBFF7F0, 0x0)		 = 0 0
__sysctl(0x7FFF5FBFD3C0, 0x2, 0x7FFF5FBFD380)		 = 0 0
__sysctl(0x7FFF5FBFD380, 0x2, 0x7FFF5FBFD41C)		 = 0 0
shared_region_check_np(0x7FFF5FBFD588, 0x0, 0x7FFF5FC1DC86)		 = 0 0
stat64("/usr/lib/dtrace/libdtrace_dyld.dylib\0", 0x7FFF5FBFC990, 0x7FFF5FBFCFD0)		 = 0 0
open("/usr/lib/dtrace/libdtrace_dyld.dylib\0", 0x0, 0x0)		 = 3 0
pread(0x3, "\312\376\272\276\0", 0x1000, 0x0)		 = 4096 0
pread(0x3, "\317\372\355\376\a\0", 0x1000, 0x1000)		 = 4096 0
mmap(0x100142000, 0x2000, 0x5, 0x12, 0x3, 0x7FFF00000001)		 = 0x142000 0
mmap(0x100144000, 0x1000, 0x3, 0x12, 0x3, 0x7FFF00000001)		 = 0x144000 0
mmap(0x100145000, 0x1F10, 0x1, 0x12, 0x3, 0x7FFF00000001)		 = 0x145000 0
close(0x3)		 = 0 0
stat64("/usr/lib/libSystem.B.dylib\0", 0x7FFF5FBFC730, 0x7FFF5FBFCD70)		 = 0 0
stat64("/usr/lib/libobjc.A.dylib\0", 0x7FFF5FBFC730, 0x7FFF5FBFCD70)		 = 0 0
stat64("/usr/lib/system/libmathCommon.A.dylib\0", 0x7FFF5FBFC5E0, 0x7FFF5FBFCC20)		 = 0 0
stat64("/usr/lib/libauto.dylib\0", 0x7FFF5FBFC5B0, 0x7FFF5FBFCBF0)		 = 0 0
stat64("/usr/lib/libstdc++.6.dylib\0", 0x7FFF5FBFC5B0, 0x7FFF5FBFCBF0)		 = 0 0
issetugid(0x7FFF8699F8AC, 0x7FFF5FBFD25C, 0x7FFF5FBFF6D8)		 = 0 0
stat64("/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation\0", 0x7FFF5FBFC320, 0x7FFF5FBFC960)		 = 0 0
mmap(0x0, 0x1000000, 0x3, 0x1002, 0x2000000, 0x0)		 = 0x400000 0
munmap(0x100400000, 0x400000)		 = 0 0
munmap(0x101000000, 0x400000)		 = 0 0
getrlimit(0x1003, 0x7FFF5FBFF660, 0x7FFF5FBFF6D8)		 = 0 0
mmap(0x0, 0x62000, 0x3, 0x1002, 0x3000000, 0x0)		 = 0x400000 0
mmap(0x0, 0x1000, 0x3, 0x1002, 0x3000000, 0x0)		 = 0x1AA000 0
open("/dev/urandom\0", 0x20104, 0x24)		 = 3 0
fstat64(0x3, 0x7FFF5FBFF470, 0x0)		 = 0 0
read(0x3, "\270\017\250I\252_5\0320]\005\271)O\003\375\032e\231f\232,\241\366\216\216\203S\350eB>\0", 0x20)		 = 32 0
close(0x3)		 = 0 0
sigaction(0x2, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0x1, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0x3, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0xF, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0xE, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0x1E, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0x1F, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0xA, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0xB, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0xD, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigprocmask(0x1, 0x7FFF5FBFF53C, 0x7FFF5FBFF53C)		 = 0x0 0
sigaction(0x14, 0x7FFF5FBFF4D0, 0x7FFF5FBFF500)		 = 0 0
sigprocmask(0x3, 0x7FFF5FBFF53C, 0x0)		 = 0x0 0
geteuid(0x0, 0x10023752, 0x100237080)		 = 0 0
getegid(0x0, 0x10023752, 0x0)		 = 0 0
getuid(0x0, 0x10023E97, 0x10022EF20)		 = 0 0
geteuid(0x0, 0x10023E97, 0x0)		 = 0 0
